country_full,total_points
San Marino,753.11
Gibraltar,851.64
British Virgin Islands,804.11
Zimbabwe,1138.56
Central African Republic,1133.5
Libya,1130.75
Niger,1129.67
Faroe Islands,1126.3
Comoros,1119.99
Sudan,1116.21
Antigua and Barbuda,1107.51
Solomon Islands,1097.61
Latvia,1096.19
Philippines,1095.66
Malaysia,1091.57
Kuwait,1090.42
Turkmenistan,1089.77
Rwanda,1089.46
Burundi,1085.06
Nicaragua,1076.11
Ethiopia,1074.47
Suriname,1073.57
Lithuania,1069.97
St Kitts and Nevis,1066.81
Tanzania,1138.79
Malawi,1140.65
Togo,1140.88
Azerbaijan,1143.22
India,1208.69
Lebanon,1205.77
Mauritania,1205.18
Trinidad and Tobago,1199.74
Aotearoa New Zealand,1199.04
Kazakhstan,1198.24
Kenya,1191.07
Congo,1190.63
Guatemala,1186.71
Madagascar,1186.09
Eswatini,1058.19
Kosovo,1179.69
Estonia,1179.3
Guinea-Bissau,1178.93
Thailand,1174.37
Namibia,1172.41
Korea DPR,1169.96
Angola,1169.07
Mozambique,1164.25
Cyprus,1163.73
The Gambia,1159.82
Sierra Leone,1156.11
Tajikistan,1179.54
Botswana,1054.31
Liberia,1049.94
"Hong Kong, China",1049.74
Cambodia,942.97
Belize,939.96
St Vincent and the Grenadines,938.28
Montserrat,938.02
Mauritius,936.09
Chad,930.22
Macau,913.68
Mongolia,908.71
Dominica,904.88
Bhutan,900.65
Nepal,958.05
São Tomé and Príncipe,900.07
Cook Islands,899.33
Bangladesh,892.44
Brunei Darussalam,891.12
Djibouti,889.2
Timor-Leste,860.45
Cayman Islands,859.83
Seychelles,856.71
Eritrea,855.56
Somalia,854.72
Bahamas,852.87
Laos,899.58
Belarus,1212.28
Grenada,960.77
Cuba,968.29
Indonesia,1047.46
Lesotho,1038.68
Dominican Republic,1036.74
Chinese Taipei,1028.18
Andorra,1022.3
Maldives,1021.85
Yemen,1020.37
Afghanistan,1020.32
Singapore,1014.78
Papua New Guinea,1003.28
Bermuda,966.27
Myanmar,1000.26
Tahiti,995.11
Puerto Rico,993.8
Moldova,990.73
Vanuatu,986.44
Barbados,984.05
South Sudan,983.35
Guyana,981.69
Fiji,980.48
St Lucia,978.91
Malta,972.86
New Caledonia,995.58
Kyrgyz Republic,1224.8
Palestine,1233.02
Vietnam,1238.23
Peru,1561.2
IR Iran,1556.59
Sweden,1547.11
Ukraine,1541.25
Serbia,1539.03
Poland,1536.99
Australia,1530.45
Korea Republic,1529.3
Austria,1528.06
Scotland,1520.24
Japan,1595.96
Tunisia,1516.66
Algeria,1511.23
Egypt,1509.89
Wales,1506.04
Hungary,1504.57
Czechia,1503.69
Russia,1495.53
Nigeria,1486.48
Ecuador,1486.47
Türkiye,1484.47
Cameroon,1470.97
Chile,1511.31
Canada,1458.58
Denmark,1597.37
Colombia,1624.91
Aruba,850.88
Sri Lanka,825.25
Guam,838.33
Turks and Caicos Islands,839.39
Pakistan,847.67
Liechtenstein,848.82
Argentina,1843.73
France,1843.54
Brazil,1828.27
England,1797.39
Senegal,1612.61
Belgium,1788.55
Netherlands,1731.23
Italy,1726.58
Portugal,1718.25
Spain,1703.45
USA,1674.48
Mexico,1665.59
Switzerland,1661.12
Morocco,1655.5
Germany,1636.32
Uruguay,1633.13
Croatia,1742.55
Anguilla,785.69
Norway,1458.47
Costa Rica,1453.56
Oman,1332.45
Uzbekistan,1327.58
El Salvador,1325.47
Israel,1323.81
Bulgaria,1315.48
Georgia,1312.8
Honduras,1309.23
China PR,1304.78
Guinea,1296.75
Jordan,1296.26
United Arab Emirates,1336.28
Bolivia,1295.09
Gabon,1285.25
Bahrain,1282.05
Haiti,1272.64
Curaçao,1267.87
Luxembourg,1262.72
Armenia,1252.6
Equatorial Guinea,1251.83
Uganda,1250.32
Benin,1248.13
Syria,1241.62
Zambia,1293.77
Panama,1453.94
Montenegro,1343.45
Congo DR,1350.11
Slovakia,1447.05
Romania,1443.98
Paraguay,1442.64
Greece,1441.06
Mali,1438.01
Côte d'Ivoire,1433.38
Republic of Ireland,1426.26
Saudi Arabia,1421.46
Finland,1419.47
Burkina Faso,1419.18
Iraq,1345.21
Venezuela,1417.23
Qatar,1395.57
Ghana,1391.13
Slovenia,1391.04
Bosnia and Herzegovina,1381.1
South Africa,1368.25
Northern Ireland,1361.17
Albania,1357.39
Cabo Verde,1354.65
Iceland,1352.98
North Macedonia,1350.53
Jamaica,1409.73
US Virgin Islands,816.59
